ID,Country_Name,Country_Code,Indicator_Name,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017
194,Poland,POL,Total natural resources rents (% of GDP),1.6267281,1.9879543,1.472802,1.0691517,0.9382485,0.8548003,0.8310639,0.9927318
195,Portugal,PRT,Total natural resources rents (% of GDP),0.2597159,0.3185903,0.3153825,0.2808399,0.2911231,0.2822443,0.1665645,0.185073
196,Post-demographic dividend,PST,Total natural resources rents (% of GDP),0.9672544,1.2280452,0.9476863,0.9141392,0.7755132,0.4289157,0.4448251,0.5854247
197,Pre-demographic dividend,PRE,Total natural resources rents (% of GDP),20.626249,25.8051764,23.3831297,20.5554751,18.0574285,11.6048449,11.5484656,15.1680552
198,Puerto Rico,PRI,Total natural resources rents (% of GDP),,,,,,,,
199,Qatar,QAT,Total natural resources rents (% of GDP),33.8944636,40.8171164,37.5918951,35.081004,30.6302273,20.0043565,15.3295517,17.9259896
200,Romania,ROU,Total natural resources rents (% of GDP),1.7373458,2.3236833,2.2440452,1.8621077,1.4456174,0.9385095,0.6742378,0.8624354
201,Russian Federation,RUS,Total natural resources rents (% of GDP),15.9025598,18.0209256,15.9258691,14.0425531,13.275591,10.2978692,8.6794679,10.807991
202,Rwanda,RWA,Total natural resources rents (% of GDP),6.2121734,6.5451058,6.1779003,6.178907,6.3556891,6.0456663,5.9863349,5.8193156
203,Samoa,WSM,Total natural resources rents (% of GDP),0.4211738,0.4834012,0.4011222,0.3649782,0.5414036,0.4086661,0.4579634,0.4655208
204,San Marino,SMR,Total natural resources rents (% of GDP),,,,,,,,
205,Sao Tome and Principe,STP,Total natural resources rents (% of GDP),3.9597717,3.7949825,3.7869831,3.22919,3.0366431,3.5267106,3.2297922,3.0511549
206,Saudi Arabia,SAU,Total natural resources rents (% of GDP),38.8058946,50.4856765,48.5640042,45.5652928,41.2438309,24.2102976,20.0278744,23.7360661
207,Senegal,SEN,Total natural resources rents (% of GDP),3.1945438,3.8720056,5.0604768,3.8271657,3.6875484,4.1069485,4.2753578,3.6415164
208,Serbia,SRB,Total natural resources rents (% of GDP),2.183474,2.8321388,2.1245725,1.5713786,1.4108544,1.1676048,1.0917332,1.312296
209,Seychelles,SYC,Total natural resources rents (% of GDP),0.1470764,0.1498763,0.1644963,0.1295776,0.1278541,0.1163287,0.1017697,0.1104695
210,Sierra Leone,SLE,Total natural resources rents (% of GDP),10.465796,12.1309821,27.9810856,53.6251876,36.8394333,12.5127298,17.472023,18.5787314
211,Singapore,SGP,Total natural resources rents (% of GDP),4.53E-04,5.14E-04,3.93E-04,3.36E-04,4.90E-04,3.83E-04,4.24E-04,4.13E-04
212,Sint Maarten (Dutch part),SXM,Total natural resources rents (% of GDP),,,,,,,,
213,Slovak Republic,SVK,Total natural resources rents (% of GDP),0.3350277,0.358061,0.5270276,0.4707613,0.4427062,0.3130482,0.3245494,0.337448
214,Slovenia,SVN,Total natural resources rents (% of GDP),0.2768448,0.3520053,0.2421028,0.1953572,0.2595607,0.2557803,0.268906,0.2459351
215,Small states,SST,Total natural resources rents (% of GDP),16.8388103,21.6422134,21.2058166,19.6106164,16.9972979,10.3113404,8.003598,9.5172137
216,Solomon Islands,SLB,Total natural resources rents (% of GDP),20.9475597,23.8647237,25.8927239,22.435735,25.1983764,20.8889071,18.7209528,23.233735
217,Somalia,SOM,Total natural resources rents (% of GDP),,,,,,,,
218,South Africa,ZAF,Total natural resources rents (% of GDP),7.6903577,8.664773,7.2932305,6.997347,5.8009543,4.5082505,5.0019955,5.2692465
219,South Asia,SAS,Total natural resources rents (% of GDP),3.8992753,4.6105071,3.5215843,3.1560228,2.5174724,1.6497873,1.5801461,1.7810555
220,South Asia (IDA & IBRD),TSA,Total natural resources rents (% of GDP),3.8992753,4.6105071,3.5215843,3.1560228,2.5174724,1.6497873,1.5801461,1.7810555
221,South Sudan,SSD,Total natural resources rents (% of GDP),45.843695,57.3308775,7.4302464,18.1998633,26.2316236,11.2455974,,
222,Spain,ESP,Total natural resources rents (% of GDP),0.0658274,0.0778585,0.0832312,0.0793934,0.0804459,0.069997,0.0693676,0.0950134
223,Sri Lanka,LKA,Total natural resources rents (% of GDP),0.1856967,0.1658285,0.139068,0.1128504,0.1101769,0.1288107,0.1412374,0.1072938
224,St. Kitts and Nevis,KNA,Total natural resources rents (% of GDP),,,,,,,,
225,St. Lucia,LCA,Total natural resources rents (% of GDP),0.021394,0.0171734,0.0164162,0.0193276,0.025359,0.018654,0.0242387,0.0188338
226,St. Martin (French part),MAF,Total natural resources rents (% of GDP),,,,,,,,
227,St. Vincent and the Grenadines,VCT,Total natural resources rents (% of GDP),0.0352867,0.0300512,0.0283259,0.032995,0.0449105,0.0325524,0.0428858,0.0352693
228,Sub-Saharan Africa,SSF,Total natural resources rents (% of GDP),14.2436815,17.308832,15.3373268,13.5646711,11.6343882,7.674955,7.8793209,9.6936125
229,Sub-Saharan Africa (excluding high income),SSA,Total natural resources rents (% of GDP),14.3578566,17.4498376,15.4579109,13.670345,11.72528,7.7356782,7.950472,9.7825519
230,Sub-Saharan Africa (IDA & IBRD countries),TSS,Total natural resources rents (% of GDP),14.2436815,17.308832,15.3373268,13.5646711,11.6343882,7.674955,7.8793209,9.6936125
231,Sudan,SDN,Total natural resources rents (% of GDP),15.6281658,24.2869796,9.9668165,11.1679559,8.3809856,5.420583,8.792914,12.0578547
232,Suriname,SUR,Total natural resources rents (% of GDP),24.7467592,35.7494754,34.4520787,26.8447708,21.0049398,15.7257002,26.2261237,29.2503472
233,Sweden,SWE,Total natural resources rents (% of GDP),0.9983078,1.0403184,0.7426279,0.7022749,0.5669296,0.3938453,0.4358463,0.5554424
234,Switzerland,CHE,Total natural resources rents (% of GDP),0.0153607,0.0128184,0.0114208,0.0122221,0.0133912,0.0107008,0.0106527,0.0102637
235,Syrian Arab Republic,SYR,Total natural resources rents (% of GDP),,,,,,,,
236,Tajikistan,TJK,Total natural resources rents (% of GDP),1.3651427,1.9607561,1.9443827,1.757369,2.7218798,3.3132945,5.1319763,5.935168
237,Tanzania,TZA,Total natural resources rents (% of GDP),7.478776,9.0641371,8.7349279,7.1434444,6.4023406,6.7719655,6.8038712,6.2328417
238,Thailand,THA,Total natural resources rents (% of GDP),2.6981842,3.1753617,3.0848632,2.8232953,2.9022032,2.0559152,1.6087618,1.6495902
239,Timor-Leste,TLS,Total natural resources rents (% of GDP),,,,,,,50.5022625,57.6747237
240,Togo,TGO,Total natural resources rents (% of GDP),15.8112853,24.9078067,31.1572588,25.0940298,21.3934612,19.7606785,18.2085344,16.4080832
241,Tonga,TON,Total natural resources rents (% of GDP),0.0481603,0.046539,0.0396346,0.0398532,0.0514727,0.0432608,0.0494469,0.0478746
242,Trinidad and Tobago,TTO,Total natural resources rents (% of GDP),13.7577678,17.6444158,17.4787749,16.6297377,13.0308177,7.3167016,4.7910295,7.2119198
243,Tunisia,TUN,Total natural resources rents (% of GDP),5.8314511,6.7036443,7.0963903,5.9235523,4.8821875,2.894849,2.3011256,2.5221878
244,Turkey,TUR,Total natural resources rents (% of GDP),0.5365603,0.7000514,0.5601641,0.4827214,0.416231,0.3107952,0.3025997,0.3813773
245,Turkmenistan,TKM,Total natural resources rents (% of GDP),30.3878554,43.3598133,38.8101398,33.4271149,24.088405,18.1312702,11.9160258,17.3440729
246,Turks and Caicos Islands,TCA,Total natural resources rents (% of GDP),0.0047019,3.87E-03,3.94E-03,4.77E-03,6.09E-03,4.38E-03,5.65E-03,4.76E-03
